T (K),Cp (J/ mole K)
300,195.0988851
300.7007007,196.1673475
301.4014014,197.2146065
302.1021021,198.2415934
302.8028028,199.2491774
303.5035035,200.2381708
304.2042042,201.2093342
304.9049049,202.1633806
305.6056056,203.1009797
306.3063063,204.022761
307.007007,204.9293175
307.7077077,205.8212079
308.4084084,206.69896
309.1091091,207.5630721
309.8098098,208.414016
310.5105105,209.2522383
311.2112112,210.0781626
311.9119119,210.8921909
312.6126126,211.6947048
313.3133133,212.4860676
314.014014,213.2666246
314.7147147,214.036705
315.4154154,214.7966225
316.1161161,215.5466765
316.8168168,216.2871527
317.5175175,217.0183242
318.2182182,217.7404522
318.9189189,218.4537865
319.6196196,219.1585665
320.3203203,219.8550214
321.021021,220.543371
321.7217217,221.2238264
322.4224224,221.8965899
323.1231231,222.5618561
323.8238238,223.2198119
324.5245245,223.870637
325.2252252,224.5145046
325.9259259,225.151581
326.6266266,225.7820266
327.3273273,226.4059961
328.028028,227.0236384
328.7287287,227.6350972
329.4294294,228.2405113
330.1301301,228.8400146
330.8308308,229.4337364
331.5315315,230.0218016
332.2322322,230.6043312
332.9329329,231.181442
333.6336336,231.7532469
334.3343343,232.3198555
335.035035,232.8813736
335.7357357,233.4379039
336.4364364,233.9895457
337.1371371,234.5363955
337.8378378,235.0785465
338.5385385,235.6160896
339.2392392,236.1491125
339.9399399,236.6777006
340.6406406,237.2019369
341.3413413,237.7219016
342.042042,238.237673
342.7427427,238.7493271
343.4434434,239.2569376
344.1441441,239.7605765
344.8448448,240.2603134
345.5455455,240.7562163
346.2462462,241.2483513
346.9469469,241.7367828
347.6476476,242.2215734
348.3483483,242.7027841
349.049049,243.1804743
349.7497497,243.6547019
350.4504505,244.1255234
351.1511512,244.5929938
351.8518519,245.0571666
352.5525526,245.5180943
353.2532533,245.9758279
353.953954,246.4304171
354.6546547,246.8819104
355.3553554,247.3303555
356.0560561,247.7757985
356.7567568,248.2182847
357.4574575,248.6578582
358.1581582,249.0945621
358.8588589,249.5284387
359.5595596,249.9595292
360.2602603,250.3878737
360.960961,250.8135117
361.6616617,251.2364817
362.3623624,251.6568212
363.0630631,252.0745673
363.7637638,252.4897557
364.4644645,252.9024219
365.1651652,253.3126003
365.8658659,253.7203247
366.5665666,254.1256282
367.2672673,254.5285431
367.967968,254.9291011
368.6686687,255.3273333
369.3693694,255.7232701
370.0700701,256.1169414
370.7707708,256.5083762
371.4714715,256.8976033
372.1721722,257.2846506
372.8728729,257.6695457
373.5735736,258.0523156
374.2742743,258.4329867
374.974975,258.8115849
375.6756757,259.1881357
376.3763764,259.562664
377.0770771,259.9351943
377.7777778,260.3057506
378.4784785,260.6743564
379.1791792,261.0410351
379.8798799,261.4058091
380.5805806,261.768701
381.2812813,262.1297324
381.981982,262.488925
382.6826827,262.8462999
383.3833834,263.2018777
384.0840841,263.555679
384.7847848,263.9077236
385.4854855,264.2580312
386.1861862,264.6066213
386.8868869,264.9535127
387.5875876,265.2987241
388.2882883,265.6422739
388.988989,265.9841801
389.6896897,266.3244605
390.3903904,266.6631325
391.0910911,267.0002132
391.7917918,267.3357195
392.4924925,267.669668
393.1931932,268.002075
393.8938939,268.3329565
394.5945946,268.6623284
395.2952953,268.9902062
395.995996,269.3166052
396.6966967,269.6415404
397.3973974,269.9650266
398.0980981,270.2870784
398.7987988,270.6077102
399.4994995,270.9269361
400.2002002,271.24477
400.9009009,271.5612256
401.6016016,271.8763164
402.3023023,272.1900557
403.003003,272.5024565
403.7037037,272.8135318
404.4044044,273.1232942
405.1051051,273.4317562
405.8058058,273.7389302
406.5065065,274.0448284
407.2072072,274.3494625
407.9079079,274.6528445
408.6086086,274.954986
409.3093093,275.2558984
410.01001,275.555593
410.7107107,275.854081
411.4114114,276.1513732
412.1121121,276.4474806
412.8128128,276.7424137
413.5135135,277.0361831
414.2142142,277.3287992
414.9149149,277.6202722
415.6156156,277.9106121
416.3163163,278.1998289
417.017017,278.4879324
417.7177177,278.7749323
418.4184184,279.0608382
419.1191191,279.3456594
419.8198198,279.6294052
420.5205205,279.9120849
421.2212212,280.1937074
421.9219219,280.4742818
422.6226226,280.7538167
423.3233233,281.0323209
424.024024,281.309803
424.7247247,281.5862715
425.4254254,281.8617346
426.1261261,282.1362008
426.8268268,282.409678
427.5275275,282.6821745
428.2282282,282.953698
428.9289289,283.2242565
429.6296296,283.4938577
430.3303303,283.7625093
431.031031,284.0302188
431.7317317,284.2969937
432.4324324,284.5628413
433.1331331,284.827769
433.8338338,285.0917839
434.5345345,285.3548931
435.2352352,285.6171036
435.9359359,285.8784225
436.6366366,286.1388564
437.3373373,286.3984123
438.038038,286.6570968
438.7387387,286.9149164
439.4394394,287.1718778
440.1401401,287.4279874
440.8408408,287.6832516
441.5415415,287.9376766
442.2422422,288.1912688
442.9429429,288.4440342
443.6436436,288.6959789
444.3443443,288.9471091
445.045045,289.1974306
445.7457457,289.4469493
446.4464464,289.695671
447.1471471,289.9436016
447.8478478,290.1907466
448.5485485,290.4371117
449.2492492,290.6827024
449.9499499,290.9275244
450.6506507,291.1715829
451.3513514,291.4148834
452.0520521,291.6574312
452.7527528,291.8992316
453.4534535,292.1402898
454.1541542,292.3806109
454.8548549,292.6202
455.5555556,292.8590621
456.2562563,293.0972023
456.956957,293.3346255
457.6576577,293.5713365
458.3583584,293.8073402
459.0590591,294.0426414
459.7597598,294.2772447
460.4604605,294.511155
461.1611612,294.7443767
461.8618619,294.9769145
462.5625626,295.2087729
463.2632633,295.4399563
463.963964,295.6704694
464.6646647,295.9003163
465.3653654,296.1295016
466.0660661,296.3580294
466.7667668,296.5859041
467.4674675,296.8131299
468.1681682,297.0397109
468.8688689,297.2656514
469.5695696,297.4909553
470.2702703,297.7156267
470.970971,297.9396697
471.6716717,298.1630882
472.3723724,298.3858862
473.0730731,298.6080676
473.7737738,298.8296361
474.4744745,299.0505957
475.1751752,299.2709502
475.8758759,299.4907032
476.5765766,299.7098584
477.2772773,299.9284197
477.977978,300.1463906
478.6786787,300.3637746
479.3793794,300.5805755
480.0800801,300.7967966
480.7807808,301.0124416
481.4814815,301.2275139
482.1821822,301.4420169
482.8828829,301.6559541
483.5835836,301.8693287
484.2842843,302.0821443
484.984985,302.294404
485.6856857,302.5061112
486.3863864,302.7172691
487.0870871,302.9278809
487.7877878,303.1379498
488.4884885,303.3474791
489.1891892,303.5564718
489.8898899,303.764931
490.5905906,303.9728598
491.2912913,304.1802613
491.991992,304.3871385
492.6926927,304.5934944
493.3933934,304.799332
494.0940941,305.0046541
494.7947948,305.2094638
495.4954955,305.4137639
496.1961962,305.6175573
496.8968969,305.8208469
497.5975976,306.0236353
498.2982983,306.2259256
498.998999,306.4277203
499.6996997,306.6290223
500.4004004,306.8298343
501.1011011,307.0301589
501.8018018,307.2299989
502.5025025,307.4293569
503.2032032,307.6282355
503.9039039,307.8266374
504.6046046,308.0245651
505.3053053,308.2220212
506.006006,308.4190083
506.7067067,308.6155287
507.4074074,308.8115852
508.1081081,309.00718
508.8088088,309.2023158
509.5095095,309.3969949
510.2102102,309.5912197
510.9109109,309.7849927
511.6116116,309.9783162
512.3123123,310.1711926
513.013013,310.3636242
513.7137137,310.5556133
514.4144144,310.7471623
515.1151151,310.9382734
515.8158158,311.1289489
516.5165165,311.319191
517.2172172,311.509002
517.9179179,311.6983841
518.6186186,311.8873394
519.3193193,312.0758702
520.02002,312.2639786
520.7207207,312.4516668
521.4214214,312.6389368
522.1221221,312.8257908
522.8228228,313.0122308
523.5235235,313.198259
524.2242242,313.3838774
524.9249249,313.569088
525.6256256,313.7538929
526.3263263,313.9382941
527.027027,314.1222936
527.7277277,314.3058933
528.4284284,314.4890952
529.1291291,314.6719014
529.8298298,314.8543136
530.5305305,315.0363338
531.2312312,315.217964
531.9319319,315.399206
532.6326326,315.5800618
533.3333333,315.760533
534.034034,315.9406217
534.7347347,316.1203297
535.4354354,316.2996587
536.1361361,316.4786106
536.8368368,316.6571872
537.5375375,316.8353902
538.2382382,317.0132215
538.9389389,317.1906827
539.6396396,317.3677757
540.3403403,317.5445021
541.041041,317.7208637
541.7417417,317.8968621
542.4424424,318.0724992
543.1431431,318.2477764
543.8438438,318.4226956
544.5445445,318.5972584
545.2452452,318.7714663
545.9459459,318.9453211
546.6466466,319.1188244
547.3473473,319.2919777
548.048048,319.4647828
548.7487487,319.637241
549.4494494,319.8093541
550.1501502,319.9811236
550.8508509,320.1525511
551.5515516,320.323638
552.2522523,320.494386
552.952953,320.6647965
553.6536537,320.834871
554.3543544,321.0046111
555.0550551,321.1740182
555.7557558,321.3430939
556.4564565,321.5118395
557.1571572,321.6802566
557.8578579,321.8483466
558.5585586,322.0161109
559.2592593,322.1835509
559.95996,322.3506681
560.6606607,322.5174639
561.3613614,322.6839397
562.0620621,322.8500969
562.7627628,323.0159368
563.4634635,323.1814608
564.1641642,323.3466704
564.8648649,323.5115667
565.5655656,323.6761513
566.2662663,323.8404253
566.966967,324.0043902
567.6676677,324.1680473
568.3683684,324.3313978
569.0690691,324.4944431
569.7697698,324.6571845
570.4704705,324.8196232
571.1711712,324.9817605
571.8718719,325.1435977
572.5725726,325.305136
573.2732733,325.4663767
573.973974,325.6273211
574.6746747,325.7879703
575.3753754,325.9483256
576.0760761,326.1083882
576.7767768,326.2681593
577.4774775,326.4276402
578.1781782,326.5868319
578.8788789,326.7457358
579.5795796,326.9043529
580.2802803,327.0626845
580.980981,327.2207316
581.6816817,327.3784956
582.3823824,327.5359774
583.0830831,327.6931784
583.7837838,327.8500995
584.4844845,328.0067419
585.1851852,328.1631068
585.8858859,328.3191952
586.5865866,328.4750083
587.2872873,328.6305471
587.987988,328.7858128
588.6886887,328.9408065
589.3893894,329.0955291
590.0900901,329.2499819
590.7907908,329.4041658
591.4914915,329.5580819
592.1921922,329.7117313
592.8928929,329.865115
593.5935936,330.018234
594.2942943,330.1710895
594.994995,330.3236823
595.6956957,330.4760136
596.3963964,330.6280844
597.0970971,330.7798956
597.7977978,330.9314483
598.4984985,331.0827434
599.1991992,331.233782
599.8998999,331.3845651
600.6006006,331.5350935
601.3013013,331.6853684
602.002002,331.8353906
